                 DateTime ,             SA1 ,            QLD1 ,            VIC1 ,            TAS1 ,            NSW1 
      2018/11/26 05:00:00 ,       72.880000 ,       60.800000 ,       60.060000 ,       76.490000 ,       85.010000 
      2018/11/26 05:30:00 ,      148.540000 ,      157.640000 ,       74.510000 ,       74.690000 ,      140.870000 
      2018/11/26 06:00:00 ,       65.760000 ,      138.710000 ,      142.460000 ,      127.310000 ,       64.030000 
      2018/11/26 06:30:00 ,       96.600000 ,       92.700000 ,       88.340000 ,      121.740000 ,      124.670000 
      2018/11/26 07:00:00 ,       84.030000 ,      107.950000 ,      128.570000 ,      126.460000 ,       90.570000 
      2018/11/26 07:30:00 ,       83.620000 ,       92.230000 ,       89.870000 ,      106.630000 ,      103.480000 
      2018/11/26 08:00:00 ,       71.210000 ,       74.570000 ,      123.480000 ,      122.210000 ,      132.280000 
      2018/11/26 08:30:00 ,      132.530000 ,      129.930000 ,       84.230000 ,       79.350000 ,      142.250000 
      2018/11/26 09:00:00 ,       87.770000 ,      124.350000 ,      115.000000 ,      117.450000 ,       81.880000 
      2018/11/26 09:30:00 ,       81.750000 ,       77.150000 ,      112.750000 ,      130.410000 ,      120.580000 
      2018/11/26 10:00:00 ,      117.160000 ,       75.860000 ,       71.930000 ,      124.690000 ,      117.780000 
      2018/11/26 10:30:00 ,       73.070000 ,      117.130000 ,       69.740000 ,      119.810000 ,      126.580000 
      2018/11/26 11:00:00 ,      110.230000 ,       84.520000 ,      115.290000 ,       87.590000 ,      107.360000 
      2018/11/26 11:30:00 ,       95.890000 ,       89.100000 ,      106.990000 ,      107.540000 ,       86.610000 
      2018/11/26 12:00:00 ,       91.590000 ,      114.190000 ,       93.990000 ,      107.020000 ,      111.870000 
      2018/11/26 12:30:00 ,      106.880000 ,       86.200000 ,      106.470000 ,       86.510000 ,      100.550000 
      2018/11/26 13:00:00 ,      104.290000 ,       98.590000 ,       92.830000 ,       92.380000 ,      103.050000 
      2018/11/26 13:30:00 ,      124.160000 ,      118.150000 ,      111.560000 ,      110.450000 ,      117.440000 
      2018/11/26 14:00:00 ,       91.070000 ,      101.360000 ,       95.170000 ,       92.200000 ,       96.030000 
      2018/11/26 14:30:00 ,      100.670000 ,      105.290000 ,       96.060000 ,       95.120000 ,      100.060000 
      2018/11/26 15:00:00 ,       92.610000 ,      100.880000 ,       98.950000 ,       95.740000 ,       90.990000 
      2018/11/26 15:30:00 ,      110.000000 ,       99.310000 ,      102.770000 ,      139.170000 ,      110.430000 
      2018/11/26 16:00:00 ,      216.170000 ,      113.300000 ,      102.790000 ,      107.560000 ,      111.100000 
      2018/11/26 16:30:00 ,      107.570000 ,      111.270000 ,      102.250000 ,      101.710000 ,      120.580000 
      2018/11/26 17:00:00 ,      126.820000 ,      151.610000 ,      138.350000 ,      161.480000 ,      125.910000 
      2018/11/26 17:30:00 ,      109.560000 ,      104.340000 ,      106.620000 ,      148.400000 ,      113.200000 
      2018/11/26 18:00:00 ,      344.050000 ,      101.110000 ,       93.200000 ,       71.020000 ,       96.470000 
